lemma,n,pos,grc,en,ja,fr,usg_ja,usg_en,cdo
ϯϭⲱⲛⲧ,1,V,,,,,,,
ϯⲁⲡⲟϩⲣⲟⲓⲁ,1,N,,,,,,,
ϯⲁⲡⲟⲗⲟⲅⲓⲁ,1,V,,,,,,,
ϯⲁⲡⲟⲫⲁⲥⲓⲥ,1,V,,,,,,,
ϯⲉⲝⲟⲩⲥⲓⲁ,1,V,,,,,,,
ϯⲏ,1,NUM,,,,,,,
ϯⲙⲁⲉⲓⲛ,1,V,,,,,,,
ϯⲛⲟⲩϭⲥ,1,V,,,,,,,
ϯⲟⲩⲃⲏ,1,PREP,,,,,,,
ϯⲟⲩⲟⲉⲓⲛ,1,N,,,,,,,
ϯⲟⲩⲟⲓ,1,V,,,,,,,
ϯⲟⲩⲱ,1,V,,"put forth, bear fruit",実を結ぶ,porter du fruit,,,
ϯⲟⲩⲱϣⲧ,1,V,,,,,,,
ϯⲡⲓ,1,V,,,,,,,
ϯⲣⲏⲛⲏ,1,N,,,,,,,
ϯⲥⲟⲟⲩⲛ,1,V,,,,,,,
ϯⲥⲩⲙⲃⲟⲩⲗⲟⲛ,1,V,,,,,,,
ϯⲧⲱⲕ,1,V,,,,,,,
ϯⲱⲧⲉ,1,N,,,,,,,
‐ⲃⲟⲗ,1,N,,,,,,,
ⲁϣⲁϩⲟⲙ,1,N,,,,,,,
ⲁϣⲁⲉⲓ,1,V,,,,,,,
ⲁϩⲉ,1,N,,,,,,,
ⲁϩⲟⲣⲁⲧⲟⲥ,1,N,Y,invisible (ἀόρατος),不可視の,invisible (ἀόρατος),,,
ⲁϩⲣ,1,N,,,,,,,
ⲁϩⲣⲏⲧⲟⲥ,1,N,Y,,,,,,
ⲁϩⲣⲟ,1,V,,,,,,,
ⲁϩⲣⲱ,1,V,,,,,,,
ⲁⲁⲁ,1,NUM,,,,,,,
ⲁⲁⲁⲁ,1,NUM,,,,,,,
ⲁⲁⲧ,1,V,,,,,,,
ⲁⲃⲁϭⲏⲉⲓⲛ,1,N,,,,,,,
ⲁⲃⲉⲣⲁⲙⲉⲛⲑⲱ,1,N,,,,,,,
ⲁⲃⲉⲣⲁⲛⲉⲛⲑⲱ,1,N,,,,,,,
ⲁⲃⲉⲣⲁⲛⲉⲛⲑⲱⲣ,1,NPROP,,,,,,,
ⲁⲃⲓⲟⲩⲧ,1,NPROP,,,,,,,
ⲁⲃⲣⲁⲱⲑ,1,N,,,,,,,
ⲁⲅⲅⲉⲛⲛⲏⲧⲟⲥ,1,N,,,,,,,
ⲁⲅⲅⲓⲟⲛ,1,N,Y,,,,,,
ⲁⲅⲇⲁⲗⲏⲗⲏ,1,V,,,,,,,
ⲁⲅⲉⲛⲏⲧⲟⲥ,1,N,,,,,,,
ⲁⲅⲛⲉⲓⲁ,1,N,,,,,,,
ⲁⲅⲱⲛⲓⲍⲉ,1,V,Y,,,,,,
ⲁⲇⲁⲙⲁⲥ,1,NPROP,Y,Adamas,アダマス,Adamas,,,
ⲁⲇⲓⲕⲉⲓ,1,V,,,,,,,
ⲁⲇⲓⲕⲓⲁ,1,N,Y,,,,,,
ⲁⲇⲱⲛⲓⲥ,1,NPROP,,,,,,,
ⲁⲉ,1,N,,,,,,,
ⲁⲉⲏⲓⲟⲩⲱ,1,FM,,,,,,,
ⲁⲉⲛⲛⲟⲏⲧⲟⲥ,1,N,Y,,,,,,
ⲁⲉⲣⲓⲛⲟⲛ,1,N,Y,,,,,,
ⲁⲏⲣ,1,N,Y,air (ἀήρ),空気,air (ἀήρ),,,
ⲁⲑⲣⲟⲛⲓ,1,NPROP,,,,,,,
ⲁⲓ,1,N,,,,,,,
ⲁⲓϣⲧⲁⲙⲉⲣⲛ,1,N,,,,,,,
ⲁⲓⲥⲑⲁⲛⲉ,1,V,Y,perceive (αἰσθάνομαι),感じ取る,percevoir (αἰσθάνομαι),,,
ⲁⲓⲥⲑⲏⲥⲓⲥ,1,N,Y,perception (αἴσθησις),知覚,perception (αἴσθησις),,,
ⲁⲓⲧⲉⲓ,1,V,Y,"ask, request (αἰτέω)",求める,demander (αἰτέω),,,
ⲁⲓⲧⲟⲥ,1,N,Y,,,,,,
ⲁⲕⲁⲣⲓⲟⲥ,1,V,,,,,,,
ⲁⲕⲙⲏⲛ,1,N,Y,,,,,,
ⲁⲕⲟⲗⲟⲩⲑⲉⲓ,1,V,Y,,,,,,
ⲁⲕⲟⲗⲟⲩⲑⲓ,1,V,,,,,,,
ⲁⲕⲟⲗⲟⲩⲧⲓ,1,V,,,,,,,
ⲁⲕⲣⲓⲃⲁⲍⲉ,1,V,Y,,,,,,
ⲁⲕⲣⲓⲃⲓⲁ,1,N,Y,,,,,,
ⲁⲕⲧⲓⲛ,1,N,Y,"ray, beam (ἀκτίς)",光線,rayon (ἀκτίς),,,
ⲁⲕⲱ,1,V,,,,,,,
ⲁⲗⲉ,1,V,,,,,,,
ⲁⲗⲏⲑⲱⲥ,1,ADV,Y,,,,,,
ⲁⲗⲗⲟⲧⲣⲓⲟⲥ,1,N,Y,,,,,,
ⲁⲗⲟⲩ,1,N,,"child, infant",子供,enfant,,,
ⲁⲗⲫⲁ,1,NPROP,Y,,,,,,
ⲁⲙⲁⲛⲏⲓ,1,FM,,,,,,,
ⲁⲙⲉⲗⲓ,1,V,,,,,,,
ⲁⲙⲉⲗⲓⲁ,1,N,,,,,,,
ⲁⲙⲣⲏϩⲉ,1,N,,,,,,,
ⲁⲙⲩⲛⲁⲛⲧⲟⲥ,1,N,Y,,,,,,
ⲁⲛϩⲁⲗⲓⲥⲕⲉ,1,V,Y,"consume, destroy (ἀναλίσκω)",滅ぼす,consumer (ἀναλίσκω),,,
ⲁⲛⲁⲕⲧⲉ,1,V,,,,,,,
ⲁⲛⲇⲣⲉⲁⲥ,1,NPROP,Y,Andrew,アンデレ,André,,,
ⲁⲛⲉ,1,V,,,,,,,
ⲁⲛⲉⲥ,1,V,,,,,,,
ⲁⲛⲉⲭⲉ,1,V,Y,"endure, bear (ἀνέχομαι)",耐える,supporter (ἀνέχομαι),,,
ⲁⲛⲏⲙⲫ,1,NPROP,,,,,,,
ⲁⲛⲑⲣⲁⲝ,1,N,Y,,,,,,
ⲁⲛⲟⲙⲉⲓ,1,V,Y,,,,,,
ⲁⲛⲟⲙⲟⲛ,1,N,Y,,,,,,
ⲁⲛⲟⲩϥ,1,NEG,,,,,,,
ⲁⲛⲧⲓⲇⲓⲕⲟⲥ,1,N,Y,,,,,,
ⲁⲛⲧⲓⲙⲓⲙⲟⲛ,1,N,Y,"counterfeit, antitype (ἀντίμιμον)",模造・対型,contrefait (ἀντίμιμον),,,
ⲁⲡⲁⲧⲱⲣ,1,N,,fatherless (ἀπάτωρ),父なき,sans père (ἀπάτωρ),,,
ⲁⲡⲉⲓⲗⲉⲓ,1,V,Y,,,,,,
ⲁⲡⲉⲓⲗⲏ,1,N,Y,threat (ἀπειλή),脅し,menace (ἀπειλή),,,
ⲁⲡⲉⲓⲗⲓ,1,V,,,,,,,
ⲁⲡⲕⲣⲙⲣⲙ,1,N,,,,,,,
ⲁⲡⲟϩⲣⲟⲓⲁ,1,N,,"emanation, effluence (ἀπόρροια)",流出,émanation (ἀπόρροια),,,
ⲁⲡⲟϩⲣⲟⲓⲁⲁⲥⲣⲟⲩ,1,V,,,,,,,
ⲁⲡⲟⲑⲏⲕⲏ,1,N,Y,,,,,,
ⲁⲡⲟⲕⲁⲑⲓⲥⲧⲁ,1,V,Y,,,,,,
ⲁⲡⲟⲗⲟⲅⲓⲁ,1,N,Y,defense (ἀπολογία),弁明,défense (ἀπολογία),,,
ⲁⲡⲟⲗⲩ,1,V,Y,,,,,,
ⲁⲡⲟⲛⲟⲓⲁ,1,V,Y,,,,,,
ⲁⲡⲟⲣⲓ,1,V,Y,,,,,,
ⲁⲡⲟⲣⲣⲟⲓⲁ,1,N,Y,"emanation, effluence (ἀπόρροια)",流出,émanation (ἀπόρροια),,,
ⲁⲡⲟⲧ,1,N,,cup,杯,coupe,,,
ⲁⲡⲟⲧⲁⲅⲏ,1,N,Y,renunciation (ἀποταγή),放棄,renoncement (ἀποταγή),,,
ⲁⲡⲟⲧⲉⲗⲉⲥⲙⲁ,1,N,Y,"influence, effect (ἀποτέλεσμα)",作用,effet (ἀποτέλεσμα),,,
ⲁⲡⲡⲁⲁⲡ,1,FM,,,,,,,
ⲁⲣ,1,X,,,,,,,
ⲁⲣϣⲓⲛ,1,N,,,,,,,
ⲁⲣⲁ,1,PTC,Y,,,,,,
ⲁⲣⲁⲣⲁⲇ,1,NPROP,,,,,,,
ⲁⲣⲉ,1,X,,,,,,,
ⲁⲣⲉϥⲓ,1,V,,,,,,,
ⲁⲣⲏⲥ,1,NPROP,Y,,,,,,
ⲁⲣⲏⲥⲙⲛ,1,X,,,,,,,
ⲁⲣⲏⲩ,1,ADV,,,,,,,
ⲁⲣⲓⲁⲅⲁⲑⲟⲥ,1,V,,,,,,,
ⲁⲣⲓⲇⲓⲕⲁⲓⲟⲥ,1,V,,,,,,,
ⲁⲣⲓⲉⲓⲣⲏⲛⲓⲕⲟⲥ,1,V,,,,,,,
ⲁⲣⲓⲏⲗ,1,NPROP,,Ariel (angelic name),アリエル,Ariel,,,
ⲁⲣⲓⲑⲙⲏⲥⲓⲥ,1,N,,"numbering, reckoning (ἀρίθμησις)",計算,dénombrement (ἀρίθμησις),,,
ⲁⲣⲓⲑⲙⲟⲥ,1,N,Y,number (ἀριθμός),数,nombre (ἀριθμός),,,
ⲁⲣⲓⲙⲁⲓⲛⲟⲩⲧⲉ,1,V,,,,,,,
ⲁⲣⲓⲙⲛⲧⲛⲁ,1,V,,,,,,,
ⲁⲣⲓⲟⲩⲑ,1,NPROP,,,,,,,
ⲁⲣⲓⲣⲙⲣⲁϣ,1,V,,,,,,,
ⲁⲣⲝ,1,N,Y,,,,,,
ⲁⲣⲟϣ,1,N,,,,,,,
ⲁⲣⲭⲁⲓⲟⲛ,1,N,Y,,,,,,
ⲁⲣⲭⲁⲣⲱⲭ,1,N,,,,,,,
ⲁⲣⲭⲉⲱⲭ,1,N,,,,,,,
ⲁⲣⲭⲓⲇⲁⲓⲙⲟⲛⲓⲟⲛ,1,N,Y,,,,,,
ⲁⲥⲁⲓ,1,V,,,,,,,
ⲁⲥⲁⲗⲉⲩⲧⲟⲥ,1,N,Y,,,,,,
ⲁⲥⲉⲃⲏⲥ,1,N,Y,impious (ἀσεβής),不敬虔な,impie (ἀσεβής),,,
ⲁⲥⲏⲙⲁⲛⲧⲟⲥ,1,N,Y,,,,,,
ⲁⲥⲡⲁⲍⲉ,1,V,Y,,,,,,
ⲁⲥⲡⲉ,1,N,,,,,,,
ⲁⲥⲣⲁⲅⲁⲑⲟⲥ,1,N,,,,,,,
ⲁⲥⲧⲏⲣ,1,N,Y,,,,,,
ⲁⲥⲫⲁⲗⲓⲁ,1,N,Y,"security, safety (ἀσφάλεια)",安全,sûreté (ἀσφάλεια),,,
ⲁⲥⲫⲁⲗⲱⲥ,1,N,Y,,,,,,
ⲁⲧϭⲟⲙ,1,N,,"powerless, weak",無力な,impuissant,,,
ⲁⲧϯϣⲓ,1,N,,,,,,,
ⲁⲧⲁⲕⲧⲓ,1,V,,,,,,,
ⲁⲧⲙⲉ,1,N,,,,,,,
ⲁⲧⲛ,1,POSS,,,,,,,
ⲁⲧⲛⲁ,1,N,,,,,,,
ⲁⲧⲛⲟⲩⲧⲉ,1,N,,,,,,,
ⲁⲧⲟⲛⲓ,1,V,,,,,,,
ⲁⲧⲟⲩⲟⲉⲓⲛ,1,N,,lightless,光なき,sans lumière,,,
ⲁⲧⲥⲩⲙⲃⲟⲗⲟⲛ,1,N,,,,,,,
ⲁⲧⲥⲩⲙⲃⲟⲩⲗⲟⲛ,1,N,,,,,,,
ⲁⲧⲱϣ,1,N,,,,,,,
ⲁⲩⲏⲣ,1,NPROP,,,,,,,
ⲁⲩⲑⲁⲇⲏⲥ,1,N,Y,"Authades, the Arrogant (αὐθάδης)",自負者（アウタデス）,l'Arrogant (αὐθάδης),,,
ⲁⲩⲑⲁⲧⲏⲥ,1,N,Y,"Authades, the Arrogant (var.)",自負者（異形）,l'Arrogant (var.),,,
ⲁⲩⲑⲉⲛⲧⲏⲥ,1,N,Y,"authority, master (αὐθέντης)",主権者,maître (αὐθέντης),,,
ⲁⲩⲑⲉⲛⲧⲓⲕⲟⲛ,1,N,,,,,,,
ⲁⲫⲁⲉ,1,N,,,,,,,
ⲁⲫⲟⲣⲙⲏ,1,N,Y,,,,,,
ⲁⲫⲣⲟⲇⲓⲧⲏ,1,NPROP,Y,Aphrodite,アフロディーテ,Aphrodite,,,
ⲁⲭⲅⲣⲁⲙⲙⲁⲭⲁⲙⲁⲣⲉⲅ,1,NPROP,,,,,,,
ⲁⲭⲑⲁⲛⲁⲃⲁⲥ,1,NPROP,,,,,,,
ⲁⲭⲣⲱⲭⲁⲣ,1,NPROP,,,,,,,
ⲁⲭⲱⲣⲏⲧⲟⲛ,1,N,Y,uncontainable (ἀχώρητον),容れえぬ,insaisissable (ἀχώρητον),,,
ⲁⲭⲱⲣⲏⲧⲟⲥ,1,N,Y,uncontainable (ἀχώρητος),容れえぬ,insaisissable (ἀχώρητος),,,
ⲁⲱⲓ,1,FM,,,,,,,
ⲁⲱⲓ̈,1,FM,,,,,,,
ⲃϣⲉ,1,N,,,,,,,
ⲃⲁⲁⲃⲉ,1,V,,,,,,,
ⲃⲁⲑⲟⲥ,1,N,Y,depth (βάθος),深み,profondeur (βάθος),,,
ⲃⲁⲓ,1,N,,,,,,,
ⲃⲁⲓⲛⲭⲱⲱⲱⲭ,1,NPROP,,,,,,,
ⲃⲁⲡⲧⲓⲍⲉ,1,V,Y,baptize (βαπτίζω),洗礼を施す,baptiser (βαπτίζω),,,
ⲃⲁⲡⲧⲓⲥⲙⲁ,1,N,Y,baptism (βάπτισμα),洗礼,baptême (βάπτισμα),,,
ⲃⲁⲣⲃⲏⲗⲟⲥ,1,NPROP,,,,,,,
ⲃⲁⲣⲃⲏⲗⲱ,1,N,,Barbelo,バルベーロー,Barbélô,,,
ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ,1,NPROP,,,,,,,
ⲃⲁⲥⲁⲛⲓⲍⲉ,1,V,Y,,,,,,
ⲃⲁⲥⲁⲛⲓⲥⲙⲟⲥ,1,N,,,,,,,
ⲃⲁⲥⲁⲛⲟⲥ,1,N,Y,,,,,,
ⲃⲁⲥⲓⲥ,1,N,Y,,,,,,
ⲃⲇⲉⲗⲗⲁ,1,N,,,,,,,
ⲃⲉⲉⲃⲉ,1,V,,,,,,,
ⲃⲉⲕⲉ,1,N,,,,,,,
ⲃⲉⲛⲓⲡⲉ,1,N,,,,,,,
ⲃⲉⲣⲃⲱ,1,NPROP,,,,,,,
ⲃⲉⲣⲓⲙⲟⲩ,1,NPROP,,,,,,,
ⲃⲉⲣⲱ,1,N,,,,,,,
ⲃⲉⲧϭⲓ,1,V,,,,,,,
ⲃⲓⲁⲍⲉ,1,V,Y,,,,,,
ⲃⲗⲁⲡⲧⲉⲓ,1,V,Y,,,,,,
ⲃⲗⲗⲉⲉⲩ,1,N,,,,,,,
ⲃⲟⲏⲑⲉⲓ,1,V,Y,help (βοηθέω),助ける,aider (βοηθέω),,,
ⲃⲟⲏⲑⲓⲁ,1,N,Y,"help, aid (βοήθεια)",助け,aide (βοήθεια),,,
ⲃⲟⲏⲑⲟⲥ,1,N,Y,helper (βοηθός),助け手,secours (βοηθός),,,
ⲃⲟⲗⲟⲟⲩⲉ,1,V,,,,,,,
ⲃⲟⲧ,1,N,,,,,,,
ⲃⲟⲧⲁⲛⲏ,1,N,Y,,,,,,
ⲃⲟⲧⲉ,1,N,,,,,,,
ⲃⲟⲩⲃⲁⲥⲧⲓ,1,NPROP,,,,,,,
ⲃⲟⲩⲃⲟⲩ,1,V,,,,,,,
ⲃⲧ,1,N,,,,,,,
ⲃⲱⲻⲙⲩⲥⲧⲏⲣⲓⲟⲛ,1,N,,,,,,,
ⲅⲁⲃⲣⲓⲏⲗ,1,NPROP,,Gabriel,ガブリエル,Gabriel,,,
ⲅⲁⲗⲓⲗⲁⲓⲁ,1,NPROP,,,,,,,
ⲅⲉ,1,PTC,Y,,,,,,
ⲅⲛⲧ,1,N,,,,,,,
ⲇⲁⲓⲙⲱⲛ,1,N,Y,,,,,,
ⲇⲁⲛⲓⲥⲧⲏⲥ,1,N,Y,,,,,,
ⲇⲁⲩⲉⲓⲇ,1,NPROP,,David,ダビデ,David,,,
ⲇⲁⲩⲓⲇ,1,NPROP,,David,ダビデ,David,,,
ⲇⲇⲇⲧⲉϥ,1,POSS,,,,,,,
ⲇⲉⲕⲁⲛⲟⲥ,1,N,Y,decan (δεκανός),デカン,décan (δεκανός),,,
ⲇⲉⲣⲁⲁⲣⲁⲓ,1,FM,,,,,,,
ⲇⲓⲁⲃⲁⲗⲉ,1,V,,"accuse, slander (διαβάλλω)",中傷する,calomnier (διαβάλλω),,,
ⲇⲓⲁⲃⲁⲗⲗⲉ,1,V,Y,,,,,,
ⲇⲓⲁⲃⲟⲗⲟⲥ,1,NPROP,Y,,,,,,
ⲇⲓⲁⲕⲟⲛⲉⲓ,1,V,Y,"serve, minister (διακονέω)",仕える,servir (διακονέω),,,
ⲇⲓⲁⲕⲟⲛⲟⲥ,1,N,Y,,,,,,
ⲇⲓⲁⲕⲱⲛ,1,N,Y,deacon (διάκων),執事,diacre (διάκων),,,
ⲇⲓⲁⲯⲁⲗⲙⲁ,1,N,Y,interlude (διάψαλμα),間奏（ディアプサルマ）,interlude (διάψαλμα),,,
ⲇⲓⲉⲓⲥⲃⲁⲗⲙⲏⲣⲓⲭ,1,NPROP,,,,,,,
ⲇⲓⲕⲁⲓⲕⲩⲛⲏ,1,N,,,,,,,
ⲇⲓⲟⲥ,1,N,,,,,,,
ⲇⲟϭⲓⲙⲁⲍⲉ,1,V,,,,,,,
ⲇⲟⲕⲓⲙⲁⲍⲉ,1,V,Y,,,,,,
ⲇⲟⲝⲟⲧⲏⲥ,1,N,Y,,,,,,
ⲇⲣⲁⲕⲱⲛ,1,N,Y,"dragon, serpent (δράκων)",竜,dragon (δράκων),,,
ⲇⲣⲟⲙⲟⲥ,1,N,Y,"course, race (δρόμος)",走路,course (δρόμος),,,
ⲇⲩⲛⲁⲧⲟⲥ,1,N,Y,,,,,,
ⲇⲩⲛⲟⲥ,1,N,Y,,,,,,
ⲇⲱⲣⲉⲁ,1,N,Y,gift (δωρεά),賜物,don (δωρεά),,,
ⲇⲱⲣⲟⲛ,1,N,Y,,,,,,
ⲉ*ⲧⲣⲉ,1,CONV,,,,,,,
ⲉϣⲁⲣⲉ,1,V,,,,,,,
ⲉϥ,1,PPER,,,,,,,
ⲉϥϣⲁ,1,PPER,,,,,,,
ⲉϥⲉϩⲱϫ,1,V,,,,,,,
ⲉϥⲉⲣϩⲟⲩⲉ,1,EXIST,,,,,,,
ⲉϩⲟⲩ,1,ADV,,,,,,,
ⲉϩⲟⲩⲉ,1,PREP,,more than,～より,plus que,,,
ⲉϫⲓ,1,V,,,,,,,
ⲉϫⲙⲫⲁⲡ,1,ADV,,,,,,,
ⲉϫⲟⲩⲥⲓⲁ,1,N,Y,,,,,,
ⲉϭⲟⲟϣⲉ,1,NPROP,,,,,,,
ⲉϭⲱϩⲧ,1,N,,,,,,,
ⲉⲃⲓⲏⲛ,1,N,,"wretched, poor",みじめな,misérable,,,
ⲉⲃⲟⲗⲉⲕⲉ,1,ADV,,,,,,,
ⲉⲃⲟⲧⲡⲉⲓ,1,N,,,,,,,
ⲉⲃⲱⲕ,1,V,,,,,,,
ⲉⲅⲕⲁⲕⲉⲓ,1,V,Y,,,,,,
ⲉⲅⲕⲣⲁⲧⲉⲓⲁ,1,N,Y,,,,,,
ⲉⲉⲓ,1,PREP,,,,,,,
ⲉⲉⲓⲉ,1,V,,,,,,,
ⲉⲉⲛⲇⲩⲙⲁ,1,N,,,,,,,
ⲉⲓⲁ,1,N,,wash,洗う,laver,,,
ⲉⲓⲁⲁⲩ,1,N,,,,,,,
ⲉⲓⲁⲗⲧⲁⲃⲁⲱⲑ,1,N,,,,,,,
ⲉⲓⲇⲟⲥ,1,N,Y,,,,,,
ⲉⲓⲉⲃⲧ,1,N,,,,,,,
ⲉⲓⲉⲙⲛⲑⲉ,1,PTC,,,,,,,
ⲉⲓⲉⲛ,1,EXIST,,,,,,,
ⲉⲓⲉⲛⲉⲣ,1,X,,,,,,,
ⲉⲓⲉⲣⲟ,1,N,,,,,,,
ⲉⲓⲉⲧⲛⲧⲱⲛ,1,NEG,,,,,,,
ⲉⲓⲟⲟⲣ,1,N,,,,,,,
ⲉⲓⲣⲏⲛⲓⲕⲟⲛ,1,N,Y,,,,,,
ⲉⲓⲣⲏⲛⲓⲕⲟⲥ,1,N,Y,,,,,,
ⲉⲓⲱ,1,V,,,,,,,
ⲉⲓⲱϭⲉ,1,N,,,,,,,
ⲉⲓⲱⲣⲙ,1,V,,,,,,,
ⲉⲕⲁⲧⲏ,1,NPROP,Y,,,,,,
ⲉⲕⲉⲣⲁⲥⲙⲟⲥ,1,N,,,,,,,
ⲉⲗϩⲱⲃ,1,N,,,,,,,
ⲉⲗⲁⲭⲓⲥⲧⲟⲛ,1,N,Y,,,,,,
ⲉⲗⲉⲩⲑⲉⲣⲟⲥ,1,N,Y,,,,,,
ⲉⲙϩⲓⲧ,1,N,,,,,,,
ⲉⲙⲁϣⲟ,1,ADV,,"greatly, exceedingly",非常に,grandement,,,
ⲉⲙⲙⲟ,1,V,,,,,,,
ⲉⲙⲛ,1,V,,,,,,,
ⲉⲙⲛⲧ,1,N,,west; Amente (underworld),西・冥界,"occident, Amenti",,,
ⲉⲙⲟⲩ,1,N,,,,,,,
ⲉⲙⲡⲁⲧ,1,NEG,,,,,,,
ⲉⲛⲁⲛⲟⲕ,1,N,,,,,,,
ⲉⲛⲇⲩⲙⲁ,1,N,Y,"garment, vesture (ἔνδυμα)",衣,vêtement (ἔνδυμα),,,
ⲉⲛⲉ,1,CONJ,,(irrealis) if,もし～なら,si (irréel),,,
ⲉⲛⲉⲣⲅⲉⲓ,1,V,Y,,,,,,
ⲉⲛⲉⲣⲅⲉⲓⲁ,1,N,Y,,,,,,
ⲉⲛⲉⲣⲉ,1,X,,,,,,,
ⲉⲛⲣⲣⲉϥⲣⲛⲟⲃⲉ,1,N,,,,,,,
ⲉⲛⲥⲧⲏϩ,1,N,,,,,,,
ⲉⲛⲧⲁⲓⲣ,1,NPROP,,,,,,,
ⲉⲛⲧⲟⲗⲟⲟⲩⲉ,1,N,,,,,,,
ⲉⲛⲭⲑⲟⲛⲓⲛ,1,N,,,,,,,
ⲉⲛⲱⲭ,1,NPROP,,,,,,,
ⲉⲛⲱⲭⲗⲉⲓ,1,V,Y,,,,,,
ⲉⲝⲉⲥⲧⲓ,1,V,Y,it is lawful (ἔξεστι),許されている,il est permis (ἔξεστι),,,
ⲉⲝⲓⲗⲓ,1,V,Y,,,,,,
ⲉⲡⲓⲑⲩⲙⲓⲁ,1,N,Y,,,,,,
ⲉⲡⲓⲕⲁⲗⲉⲓ,1,V,Y,invoke (ἐπικαλέω),呼び求める,invoquer (ἐπικαλέω),,,
ⲉⲡⲓⲕⲁⲗⲓ,1,V,,invoke (ἐπικαλέω),呼び求める,invoquer (ἐπικαλέω),,,
ⲉⲡⲓⲛⲟⲓ,1,V,,,,,,,
ⲉⲡⲓⲣⲓ,1,V,,,,,,,
ⲉⲡⲓⲥⲕⲟⲡⲟⲥ,1,N,Y,"overseer, bishop (ἐπίσκοπος)",監督,évêque (ἐπίσκοπος),,,
ⲉⲡⲓⲥⲧⲏⲙⲏ,1,N,Y,,,,,,
ⲉⲡⲗⲁⲧⲉ,1,V,,,,,,,
ⲉⲣ,1,PPER,,,,,,,
ⲉⲣ*ⲟⲩ,1,V,,,,,,,
ⲉⲣϩⲟⲧⲉ,1,V,,,,,,,
ⲉⲣⲁⲛⲧⲟⲛ,1,N,,,,,,,
ⲉⲣⲁⲥⲙⲟⲥ,1,N,,,,,,,
ⲉⲣⲏⲧ,1,N,,,,,,,
ⲉⲣⲓⲛⲁⲓⲟⲥ,1,N,Y,,,,,,
ⲉⲣⲙⲁⲛⲟⲩⲏⲣ,1,NPROP,,,,,,,
ⲉⲣⲛ̅,1,PREP,,,,,,,
ⲉⲣⲱⲧ,1,PREP,,,,,,,
ⲉⲣⲱⲧⲛⲉⲓϣⲁⲛ,1,PREP,,,,,,,
ⲉⲣⲱⲧⲛⲉⲓⲉ,1,PREP,,,,,,,
ⲉⲥⲉϣⲁϩⲉ,1,POSS,,,,,,,
ⲉⲥⲉⲧⲣⲉ,1,X,,,,,,,
ⲉⲥⲏⲡ,1,V,,,,,,,
ⲉⲧϩⲛⲇⲁⲩⲓⲇ,1,V,,,,,,,
ⲉⲧⲁ,1,N,,,,,,,
ⲉⲧⲁϥⲧⲉ,1,V,,,,,,,
ⲉⲧⲁⲣϫⲓⲉϫⲛ,1,AUX,,,,,,,
ⲉⲧⲉϩⲛⲁ,1,N,,,,,,,
ⲉⲧⲉⲧⲛ,1,X,,,,,,,
ⲉⲧⲉⲧⲛϣⲁⲛⲃⲱⲕ,1,V,,,,,,,
ⲉⲧⲉⲧⲛⲁ,1,N,,,,,,,
ⲉⲧⲉⲱⲫ,1,NPROP,,,,,,,
ⲉⲧⲏⲡ,1,REL,,,,,,,
ⲉⲧⲓⲉϥϣⲁⲛ,1,ADV,,,,,,,
ⲉⲧⲙ,1,ART,,,,,,,
ⲉⲧⲛⲁⲛⲟⲩϥ,1,N,,,,,,,
ⲉⲧⲟⲧ,1,PREP,,,,,,,
ⲉⲧⲟⲩⲛⲁⲥⲱⲕ,1,NUM,,,,,,,
ⲉⲧⲟⲩⲧⲁϣⲥⲉ,1,V,,,,,,,
ⲉⲧⲡⲉ,1,N,,,,,,,
ⲉⲧⲡⲱ,1,N,,,,,,,
ⲉⲧⲣ,1,CONV,,,,,,,
ⲉⲧⲣⲟⲓⲥ,1,V,,,,,,,
ⲉⲧⲣⲩⲫⲟⲟⲩⲉ,1,N,,,,,,,
ⲉⲧⲥⲟⲟⲩⲡ,1,REL,,,,,,,
ⲉⲩⲁⲣ,1,X,,,,,,,
ⲉⲩⲅⲉ,1,ADV,Y,well done! (εὖγε),でかした,bravo (εὖγε),,,
ⲉⲩⲅⲉⲓⲁⲕⲕⲱⲃⲟⲥ,1,ADV,,,,,,,
ⲉⲩⲉϣϭⲙϭⲟⲙ,1,V,,,,,,,
ⲉⲩⲑⲁⲣⲓ,1,NPROP,,,,,,,
ⲉⲩⲛⲟⲩ,1,N,,,,,,,
ⲉⲩⲭⲉ,1,V,,,,,,,
ⲉⲩⲭⲓⲙⲁⲍⲉ,1,V,,,,,,,
ⲉⲫⲱϣ,1,V,,,,,,,
ⲉⲭⲱⲣⲏⲙⲁ,1,N,,,,,,,
ⲍⲁⲅⲟⲩⲣⲏ,1,FM,,,,,,,
ⲍⲁⲓ,1,FM,,,,,,,
ⲍⲁⲙⲁ,1,FM,,,,,,,
ⲍⲁⲣⲁⲍⲁⲍ,1,NPROP,,,,,,,
ⲍⲉⲛⲉⲓ,1,NPROP,,,,,,,
ⲍⲉⲩⲥ,1,NPROP,Y,Zeus,ゼウス,Zeus,,,
ⲍⲟⲣⲟⲕⲟⲑⲟⲣⲁ,1,FM,,,,,,,
ⲍⲱⲛⲏ,1,N,Y,,,,,,
ⲏⲕⲉ,1,N,,,,,,,
ⲏⲛⲇⲉ,1,CONJ,,,,,,,
ⲏⲟⲩⲣⲉⲫ,1,NPROP,,,,,,,
ⲏⲡⲥ,1,N,,,,,,,
